# X=0.75	Y=0.20	Z=0.05			
	# Masa	Radio	Luminosidad	Temp central	T eff
	2.513826043	1.674335011	11.83016905	1.857	8283.162611
	2.765208648	1.785334292	19.17659298	1.912	9051.128238
	2.991452991	1.885981308	28.65149545	1.957	9736.161304
	3.267973856	2.010496046	45.21924577	2.01	10569.36378
	3.554550025	2.130409777	69.44941482	2.058	11430.23616
	3.770739065	2.226168224	94.62522757	2.097	12080.70762
	4.228255405	2.404888569	168.616645	2.167	13429.11091
	5.027652086	2.719913731	412.0496749	2.28	15788.08508
