# X=0.75, Y=0.22	Z=0.03				
	# Masa	Radio	Luminosidad	Temp central	T eff
	2.513826043	1.59410496	19.91859558	1.95	9669.986121
	2.765208648	1.69705248	32.03250975	2.007	10554.06426
	2.991452991	1.793529835	47.98543563	2.055	11357.75998
	3.267973856	1.909849029	75.63979194	2.109	12332.68648
	3.554550025	2.011790079	113.1877763	2.159	13290.09789
	3.770739065	2.111718188	157.5211964	2.2	14089.20211
	4.228255405	2.295758447	285.8710013	2.277	15683.71924
	5.027652086	2.576132279	689.8130039	2.4	18453.05999
