	# Unidades solares							
# ID	Masa	Luminos	Rad	T_eff (K)		log_L	log_R	log_T_eff
98	10	29100	140	6370		4.463892989	2.146128036	3.804139432
99	0	29700	174	5750		4.472756449	2.240549248	3.759667845
100	10	30300	202	5370		4.481442629	2.305351369	3.729974286
101	0	30800	218	5190		4.488550717	2.338456494	3.715167358
102	0	32400	272	4700		4.51054501	2.434568904	3.672097858
103	13	33100	293	4550		4.519827994	2.46686762	3.658011397
104	0	34000	314	4430		4.531478917	2.496929648	3.646403726
105	0	36100	362	4190		4.557507202	2.558708571	3.622214023
106	0	37500	386	4090		4.574031268	2.586587305	3.611723308
107	13	39200	415	3990		4.593286067	2.618048097	3.600972896
108	0	43200	473	3830		4.635483747	2.674861141	3.583198774
109	13	51900	579	3620		4.715167358	2.762678564	3.558708571
110	0	60300	672	3490		4.780317312	2.827369273	3.542825427
111	19	72100	791	3370		4.857935265	2.898176483	3.527629901
112	0	89500	967	3210		4.951823035	2.985426474	3.506505032
113	0	117000	1220	3060		5.068185862	3.086359831	3.485721426
114	24	165000	1640	2880		5.217483944	3.214843848	3.459392488
115	0	264000	2340	2710		5.421603927	3.369215857	3.432969291
116	0	346736.8505	11.45	41399.96748		5.54	1.058805487	4.617
117	0	660693.448	13.43	44874.53899		5.82	1.128076013	4.652
118	27	151356.1248	9.42	37068.07218		5.18	0.974050903	4.569
119	25	123026.8771	8.95	36140.98626		5.09	0.951823035	4.558
120	23	97723.7221	8.47	35075.1874		4.99	0.92788341	4.545
121	21.3	81283.05162	8.06	34276.77865		4.91	0.906335042	4.535
122	19.8	66069.3448	7.72	33265.95533		4.82	0.8876173	4.522
123	18.5	52480.74602	7.5	31915.37855		4.72	0.875061263	4.504
124	17.7	44668.35922	7.16	31405.08694		4.65	0.854913022	4.497
125	15	26915.34804	6.48	28973.43588		4.43	0.811575006	4.462
126	11	13489.62883	5.71	26001.59563		4.13	0.756636108	4.415
127	10	8128.305162	5.02	24490.63242		3.91	0.700703717	4.389
128	7.3	2691.534804	4.06	20606.29913		3.43	0.608526034	4.314
129	6	1584.893192	3.89	18492.68619		3.2	0.589949601	4.267
130	5.4	977.237221	3.61	16982.43652		2.99	0.557507202	4.23
131	5.1	776.2471166	3.46	16405.89773		2.89	0.539076099	4.215
132	4.7	588.8436554	3.36	15703.62804		2.77	0.526339277	4.196
133	4.3	371.5352291	3.27	14487.71854		2.57	0.514547753	4.161
134	3.92	301.995172	2.94	13995.87323		2.48	0.46834733	4.146
135	3.38	154.8816619	2.86	12302.68771		2.19	0.456366033	4.09
136	2.75	72.44359601	2.49	10690.54879		1.86	0.396199347	4.029
137	2.68	63.09573445	2.45	10399.20166		1.8	0.389166084	4.017
138	2.18	38.01893963	2.193	9705.099672		1.58	0.341038632	3.987
139	2.05	30.90295433	2.136	9289.663868		1.49	0.329601248	3.968
140	1.98	23.98832919	2.117	8790.225168		1.38	0.325720858	3.944
141	1.86	16.98243652	1.861	8590.135215		1.23	0.269746373	3.934
142	1.93	13.48962883	1.794	8260.379496		1.13	0.253822439	3.917
143	1.88	12.30268771	1.785	8090.958992		1.09	0.25163822	3.908
144	1.83	11.22018454	1.775	7906.78628		1.05	0.249198357	3.898
145	1.77	10	1.75	7762.471166		1	0.243038049	3.89
146	1.81	9.120108394	1.747	7585.77575		0.96	0.242292905	3.88
147	1.75	8.317637711	1.747	7396.052751		0.92	0.242292905	3.869
148	1.61	7.244359601	1.728	7227.698036		0.86	0.237543738	3.859
149	1.5	6.165950019	1.679	7014.552984		0.79	0.225050696	3.846
150	1.46	5.12861384	1.622	6823.386941		0.71	0.21005085	3.834
151	1.44	4.677351413	1.578	6745.280277		0.67	0.198106999	3.829
152	1.38	4.168693835	1.533	6668.067692		0.62	0.185542155	3.824
153	1.33	3.630780548	1.473	6546.361741		0.56	0.168202747	3.816
154	1.25	2.691534804	1.359	6353.309319		0.43	0.133219457	3.803
155	1.21	2.454708916	1.324	6280.583588		0.39	0.121887985	3.798
156	1.18	1.9498446	1.221	6180.164001		0.29	0.086715664	3.791
157	1.13	1.659586907	1.167	6053.408748		0.22	0.067070856	3.782
158	1.08	1.513561248	1.142	5984.115951		0.18	0.057666104	3.777
159	1.06	1.348962883	1.1	5929.253246		0.13	0.041392685	3.773
160	1.03	1.202264435	1.06	5861.381645		0.08	0.025305865	3.768
161	1	1.023292992	1.012	5767.664634		0.01	0.005180513	3.761
162	0.99	0.977237221	1.002	5714.786367		-0.01	0.000867722	3.757
163	0.985	0.912010839	0.991	5675.446054		-0.04	-0.003926346	3.754
164	0.98	0.891250938	0.977	5662.39289		-0.05	-0.010105436	3.753
165	0.97	0.794328235	0.949	5597.576015		-0.1	-0.022733788	3.748
166	0.95	0.741310241	0.927	5546.25713		-0.13	-0.032920266	3.744
167	0.94	0.676082975	0.914	5482.769649		-0.17	-0.039053804	3.739
168	0.9	0.549540874	0.853	5382.697825		-0.26	-0.069050969	3.731
169	0.88	0.45708819	0.813	5284.452518		-0.34	-0.089909454	3.723
170	0.86	0.407380278	0.797	5164.163693		-0.39	-0.098541679	3.713
171	0.82	0.371535229	0.783	5105.05		-0.43	-0.106238238	3.708
172	0.78	0.281838293	0.755	4830.58802		-0.55	-0.122053048	3.684
173	0.73	0.204173794	0.713	4602.565736		-0.69	-0.14691047	3.663
174	0.7	0.173780083	0.701	4436.086439		-0.76	-0.154281982	3.647
175	0.69	0.138038426	0.669	4295.364268		-0.86	-0.174573882	3.633
176	0.64	0.1	0.63	4102.04103		-1	-0.200659451	3.613
177	0.62	0.087096359	0.615	3990.249024		-1.06	-0.211124884	3.601
178	0.59	0.079432823	0.608	3926.449354		-1.1	-0.216096421	3.594
179	0.57	0.069183097	0.588	3845.91782		-1.16	-0.230622674	3.585
180	0.54	0.05370318	0.544	3767.03799		-1.27	-0.2644011	3.576
181	0.5	0.040738028	0.501	3655.947916		-1.39	-0.300162274	3.563
182	0.47	0.036307805	0.482	3622.429984		-1.44	-0.316952962	3.559
183	0.44	0.028840315	0.446	3556.313186		-1.54	-0.350665141	3.551
184	0.4	0.022908677	0.421	3467.368505		-1.64	-0.375717904	3.54
185	0.37	0.016218101	0.361	3427.677865		-1.79	-0.442492798	3.535
186	0.27	0.009332543	0.3	3273.406949		-2.03	-0.522878745	3.515
187	0.23	0.00724436	0.274	3213.660539		-2.14	-0.562249437	3.507
188	0.184	0.003981072	0.217	3111.716337		-2.4	-0.663540266	3.493
189	0.162	0.003019952	0.196	3061.963434		-2.52	-0.707743929	3.486
190	0.123	0.00162181	0.156	2930.893245		-2.79	-0.806875402	3.467
191	0.102	0.001047129	0.137	2811.90083		-2.98	-0.863279433	3.449
192	0.093	0.000794328	0.126	2741.574172		-3.1	-0.899629455	3.438
193	0.09	0.000645654	0.12	2679.168325		-3.19	-0.920818754	3.428
194	0.088	0.00057544	0.116	2630.267992		-3.24	-0.935542011	3.42
195	0.085	0.000524807	0.114	2570.395783		-3.28	-0.943095149	3.41
196	0.08	0.000338844	0.104	2421.029047		-3.47	-0.982966661	3.384
197	0.079	0.000301995	0.102	2382.319469		-3.52	-0.991399828	3.377
198	0.078	0.000269153	0.101	2349.632821		-3.57	-0.995678626	3.371
199	0.077	0.000251189	0.102	2269.864852		-3.6	-0.991399828	3.356
200	0.076	0.000194984	0.0995	2157.744409		-3.71	-1.002176919	3.334
201	0.075	0.000151356	0.097	2060.629913		-3.82	-1.013228266	3.314
202	0	0.000109648	0.0942	1918.668741		-3.96	-1.025949097	3.283
203	0	1.86209E-05	0.1	1218.989599		-4.73	-1	3.086
204	0	1.25893E-05	0.099	1169.499391		-4.9	-1.004364805	3.068
205	0	4.2658E-06	0.098	824.138115		-5.37	-1.008773924	2.916
206	0	1.1749E-06	0.097	599.7910763		-5.93	-1.013228266	2.778
207	0	3.01995E-07	0.104	449.7798549		-6.52	-0.982966661	2.653
